id,_3_4_methylenedioxyethylamphetamine,_3_4_methylene_dioxy_methylamphetamine,_3_4_methylenedioxyphenylacetone,_4f_mdmb_butinaca,_5f_adb,_5f_mdmb_pica,abime,acetylcodeine,acetylthebaol,acide_4_hydroxybutanoique,adb_butinaca,amidon,amphetamine,buprenorphine,cafeine,cbd,cbn,clonazepam,cocaine,codeine,couleur,couleur_exterieur,couleur_exterieur_1,couleur_exterieur_2,couleur_interieur,delta8_tetrahydrocannabinol,delta9_tetrahydrocannabinol,diametre,epaisseur,etiquette,forme,fub_amb,gammabutyrolactone,hauteur,ketamine,lactose,largeur,levamisole,lidocaine,logo,longueur,mannitol,masse,mdmb_4en_pinaca,morphine,n_methyl_tryptamine,nom_de_logo,noscapine,numero_echantillon,o6_monoacetylmorphine,ovule,paracetamol,phenacetine,presentation,procaine,secabilite_recto,secabilite_verso,taux_cbd,taux_cbn,type_drogue,vanilline,visqueux
928,,,,,,,Non,,,,,,,,,,,,,,,Blanche,,,Blanche,,,10.09,4.39,,Circulaire,,,,,,,,,Oui,,,337,,,,symbole indéterminé 031 B,,1-3,,,,,,,Aucune,Demi,,,Divers,,
1054,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,8,,0,,,,,,,,,Divers,,
1069,,,,,,,,,,,,,,,35.6,,,,,,Beige,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,1-3,,0,68.3,,,,,,,,Divers,,
1075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,7.4,,,Oui,,,,,,,Alice au pays des merveilles,,6-1,,,,,,,,,,,Divers,,
1076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,7.4,,,Oui,,,,,,,Alice au pays des merveilles,,6-2,,,,,,,,,,,Divers,,
1077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,7.4,,,Oui,,,,,,,Alice au pays des merveilles,,6-3,,,,,,,,,,,Divers,,
1078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,7.4,,,Oui,,,,,,,Alice au pays des merveilles,,6-4,,,,,,,,,,,Divers,,
1079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,7.4,,,Oui,,,,,,,Alice au pays des merveilles,,6-5,,,,,,,,,,,Divers,,
1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,7.4,,,Oui,,,,,,,Alice au pays des merveilles,,6-6,,,,,,,,,,,Divers,,
1081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,7.4,,,Oui,,,,,,,Alice au pays des merveilles,,6-7,,,,,,,,,,,Divers,,
1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,7.4,,,Oui,,,,,,,Alice au pays des merveilles,,6-8,,,,,,,,,,,Divers,,
1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,7.4,,,Oui,,,,,,,Alice au pays des merveilles,,6-9,,,,,,,,,,,Divers,,
1084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,7.4,,,Oui,,,,,,,Alice au pays des merveilles,,6-10,,,,,,,,,,,Divers,,
1085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,7.4,,,Oui,,,,,,,Alice au pays des merveilles,,6-11,,,,,,,,,,,Divers,,
1086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,7.4,,,Oui,,,,,,,Alice au pays des merveilles,,6-12,,,,,,,,,,,Divers,,
1087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,7.4,,,Oui,,,,,,,Alice au pays des merveilles,,6-13,,,,,,,,,,,Divers,,
1088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,7.4,,,Oui,,,,,,,Alice au pays des merveilles,,6-14,,,,,,,,,,,Divers,,
1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,7.4,,,Oui,,,,,,,Alice au pays des merveilles,,6-15,,,,,,,,,,,Divers,,
1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,7.4,,,Oui,,,,,,,Alice au pays des merveilles,,6-16,,,,,,,,,,,Divers,,
1091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,7.4,,,Oui,,,,,,,Alice au pays des merveilles,,6-17,,,,,,,,,,,Divers,,
1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,7.4,,,Oui,,,,,,,Alice au pays des merveilles,,6-18,,,,,,,,,,,Divers,,
1162,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,1,,0,,,,,,,,,Divers,,
1163,,,,,,,Non,,,,,,,,,,,,,,,Blanche,,,Blanche,,,,3.5,,Autre,,,5.53,,,9.06,,,Oui,,,128,,,,E 312,,3-1,,,,,,,Aucune,Demi,,,Divers,,
1164,,,,,,,Non,,,,,,,,,,,,,,,Blanche,,,Blanche,,,,3.5,,Autre,,,5.53,,,9.06,,,Oui,,,128,,,,E 312,,3-2,,,,,,,Aucune,Demi,,,Divers,,
1165,,,,,,,Non,,,,,,,,,,,,,,,Blanche,,,Blanche,,,,3.5,,Autre,,,5.53,,,9.06,,,Oui,,,128,,,,E 312,,3-3,,,,,,,Aucune,Demi,,,Divers,,
1166,,,,,,,Non,,,,,,,,,,,,,,,Blanche,,,Blanche,,,,3.5,,Autre,,,5.53,,,9.06,,,Oui,,,128,,,,E 312,,3-4,,,,,,,Aucune,Demi,,,Divers,,
1167,,,,,,,Non,,,,,,,,,,,,,,,Blanche,,,Blanche,,,,3.5,,Autre,,,5.53,,,9.06,,,Oui,,,128,,,,E 312,,3-5,,,,,,,Aucune,Demi,,,Divers,,
1168,,,,,,,,,,,,,,,,,,,,,Blanche,,Blanche,Bleue,,,,6.16,,,,,,,,,,,,Non,17.4,,,,,,,,4-1,,0,,,,,,,,,Divers,,
1169,,,,,,,,,,,,,,,,,,,,,Blanche,,Blanche,Bleue,,,,6.16,,,,,,,,,,,,Non,17.4,,,,,,,,4-2,,0,,,,,,,,,Divers,,
1170,,,,,,,,,,,,,,,,,,,,,Blanche,,Blanche,Bleue,,,,6.16,,,,,,,,,,,,Non,17.4,,,,,,,,4-3,,0,,,,,,,,,Divers,,
1171,,,,,,,,,,,,,,,,,,,,,Blanche,,Blanche,Bleue,,,,6.16,,,,,,,,,,,,Non,17.4,,,,,,,,4-4,,0,,,,,,,,,Divers,,
1172,,,,,,,,,,,,,,,,,,,,,Blanche,,Blanche,Bleue,,,,6.16,,,,,,,,,,,,Non,17.4,,,,,,,,4-5,,0,,,,,,,,,Divers,,
1199,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,20_066135,,0,,,,,,,,,Divers,,
1212,,,,,,,,,,,,,,,,,,,,,Bleue,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,20_066176,,0,,,,,,,,,Divers,,0
1213,,,,,,,,,,,,,,,,,,,,,Bleue,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,20_0661771,,0,,,,,,,,,Divers,,0
1214,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,20_066168,,0,,,,,,,,,Divers,,
1215,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,20_066169,,0,,,,,,,,,Divers,,
1216,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,20_0661670,,0,,,,,,,,,Divers,,
1217,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,20_0661671,,0,,,,,,,,,Divers,,
1237,,,,,,,,,,,,,,,,,,,,,Orange,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,1,,0,,,,,,,,,Divers,,
1238,,,,,,,,,,,,,,,,,,,,,Orange,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,2,,0,,,,,,,,,Divers,,
1260,,,,,,,,,,,,,,,,,,,,,Vert,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,5061,,0,,,,,,,,,Divers,,1
