id,_3_4_methylenedioxyethylamphetamine,_3_4_methylene_dioxy_methylamphetamine,abime,amphetamine,cafeine,couleur,couleur_exterieur,couleur_interieur,diametre,epaisseur,forme,hauteur,largeur,lidocaine,logo,masse,methamphetamine,nom_de_logo,numero_echantillon,ovule,phenacetine,secabilite_recto,secabilite_verso,type_drogue,visqueux
7270,42,,Non,,,,Rose,,,4.85,Autre,10.72,11.21,,Non,409.3,,,1-1,,,Aucune,Demi,Amphétamine et dérivés,
7271,42,,Non,,,,Rose,,,4.85,Autre,10.72,11.21,,Non,409.3,,,1-2,,,Aucune,Demi,Amphétamine et dérivés,
7272,42,,Non,,,,Rose,,,4.85,Autre,10.72,11.21,,Non,409.3,,,1-3,,,Aucune,Demi,Amphétamine et dérivés,
7273,42,,Non,,,,Rose,,,4.85,Autre,10.72,11.21,,Non,409.3,,,1-4,,,Aucune,Demi,Amphétamine et dérivés,
7274,42,,Non,,,,Rose,,,4.85,Autre,10.72,11.21,,Non,409.3,,,1-5,,,Aucune,Demi,Amphétamine et dérivés,
7308,,,,,,Beige,,,,,,,,,Non,,,,21_115090,0,,,,Amphétamine et dérivés,
7381,36.5,,Non,,,,Grise,Grise,,5.79,Autre,12.15,8.16,,Oui,447,,MASERATI 300 mg,18b,,,Aucune,Demi,Amphétamine et dérivés,
7382,36.5,,Non,,,,Grise,Grise,,5.79,Autre,12.15,8.16,,Oui,447,,MASERATI 300 mg,20b,,,Aucune,Demi,Amphétamine et dérivés,
7383,36.5,,Non,,,,Grise,Grise,,5.79,Autre,12.15,8.16,,Oui,447,,MASERATI 300 mg,22b,,,Aucune,Demi,Amphétamine et dérivés,
7384,29,,Non,,,,Blanche,Blanche,,4.42,Autre,8.9,8.49,,Oui,391,,Fantôme,21b,,,Aucune,Demi,Amphétamine et dérivés,
7398,35,,Non,,,,Bleue,,,4.68,Polygonale,10.1,14.22,,Oui,425,,Punisher - Tête de mort,1-1,,,Aucune,Demi,Amphétamine et dérivés,
7399,35,,Non,,,,Bleue,,,4.68,Polygonale,10.1,14.22,,Oui,425,,Punisher - Tête de mort,1-2,,,Aucune,Demi,Amphétamine et dérivés,
7400,35,,Non,,,,Bleue,,,4.68,Polygonale,10.1,14.22,,Oui,425,,Punisher - Tête de mort,1-3,,,Aucune,Demi,Amphétamine et dérivés,
7633,36.5,,Non,,,,Grise,Grise,,5.79,Autre,12.15,8.16,,Oui,447,,MASERATI 300 mg,19 b,,,Aucune,Demi,Amphétamine et dérivés,
7787,95.2,,,,,Blanc Cassé,,,,,,,,,Non,,,,47D,0,,,,Amphétamine et dérivés,
7788,95.1,,,,,Blanc Cassé,,,,,,,,,Non,,,,11L,0,,,,Amphétamine et dérivés,
7789,93.1,,,,,Orange,,,,,,,,,Non,,,,32L,0,,,,Amphétamine et dérivés,
7790,96.4,,,,,Blanc Cassé,,,,,,,,,Non,,,,25MC-1,0,,,,Amphétamine et dérivés,
7791,94.5,,,,,Blanc Cassé,,,,,,,,,Non,,,,25MC-2,0,,,,Amphétamine et dérivés,
7792,94.9,,,,,Blanc Cassé,,,,,,,,,Non,,,,25MC-3,0,,,,Amphétamine et dérivés,
7793,95,,,,,Blanc Cassé,,,,,,,,,Non,,,,25MC-14,0,,,,Amphétamine et dérivés,
7794,96.8,,,,,Blanc Cassé,,,,,,,,,Non,,,,25MC-15,0,,,,Amphétamine et dérivés,
7795,47.5,,Non,,,,Grise,Grise,,5.74,Autre,12.22,8.21,,Oui,454,,MASERATI 300MG,25MC-4,,,Aucune,Demi,Amphétamine et dérivés,
7796,47.5,,Non,,,,Grise,Grise,,5.74,Autre,12.22,8.21,,Oui,454,,MASERATI 300MG,25MC-5,,,Aucune,Demi,Amphétamine et dérivés,
7797,47.5,,Non,,,,Grise,Grise,,5.74,Autre,12.22,8.21,,Oui,454,,MASERATI 300MG,25MC-6,,,Aucune,Demi,Amphétamine et dérivés,
7798,47.5,,Non,,,,Grise,Grise,,5.74,Autre,12.22,8.21,,Oui,454,,MASERATI 300MG,25MC-7,,,Aucune,Demi,Amphétamine et dérivés,
7799,47.5,,Non,,,,Grise,Grise,,5.74,Autre,12.22,8.21,,Oui,454,,MASERATI 300MG,25MC-8,,,Aucune,Demi,Amphétamine et dérivés,
7804,42.3,,Non,,,,Bleue,Bleue,,11.12,Autre,11.07,5.34,,Oui,446,,ANIMAL POKEMON SNORLAX,25MC-9,,,Aucune,Demi,Amphétamine et dérivés,
7805,42.3,,Non,,,,Bleue,Bleue,,11.12,Autre,11.07,5.34,,Oui,446,,ANIMAL POKEMON SNORLAX,25MC-10,,,Aucune,Demi,Amphétamine et dérivés,
7806,42.3,,Non,,,,Bleue,Bleue,,11.12,Autre,11.07,5.34,,Oui,446,,ANIMAL POKEMON SNORLAX,25MC-11,,,Aucune,Demi,Amphétamine et dérivés,
7807,42.3,,Non,,,,Bleue,Bleue,,11.12,Autre,11.07,5.34,,Oui,446,,ANIMAL POKEMON SNORLAX,25MC-12,,,Aucune,Demi,Amphétamine et dérivés,
7808,42.3,,Non,,,,Bleue,Bleue,,11.12,Autre,11.07,5.34,,Oui,446,,ANIMAL POKEMON SNORLAX,25MC-13,,,Aucune,Demi,Amphétamine et dérivés,
7829,93,,,,,Translucide,,,,,,,,,Non,,,,2-1,0,,,,Amphétamine et dérivés,
7830,93,,,,,Translucide,,,,,,,,,Non,,,,2-2,0,,,,Amphétamine et dérivés,
7831,93,,,,,Translucide,,,,,,,,,Non,,,,2-3,0,,,,Amphétamine et dérivés,
7832,93,,,,,Translucide,,,,,,,,,Non,,,,2-4,0,,,,Amphétamine et dérivés,
7833,93,,,,,Translucide,,,,,,,,,Non,,,,2-6,0,,,,Amphétamine et dérivés,
7834,91,,,,,Translucide,,,,,,,,,Non,,,,2-8-2,0,,,,Amphétamine et dérivés,
7835,91,,,,,Translucide,,,,,,,,,Non,,,,2-9,0,,,,Amphétamine et dérivés,
7926,95.3,,,,,Blanche,,,,,,,,,Non,,,,34L,0,,,,Amphétamine et dérivés,
7937,82.1,,,,,Translucide,,,,,,,,,Non,,,,26MC-2,0,,,,Amphétamine et dérivés,
7938,93.1,,,,,Translucide,,,,,,,,,Non,,,,26MC-3,0,,,,Amphétamine et dérivés,
7939,84.2,,,,,Translucide,,,,,,,,,Non,,,,26MC-4,0,,,,Amphétamine et dérivés,
7940,94.6,,,,,Translucide,,,,,,,,,Non,,,,26MC-5,0,,,,Amphétamine et dérivés,
7941,93.6,,,,,Translucide,,,,,,,,,Non,,,,26MC-6,0,,,,Amphétamine et dérivés,
7942,90.3,,,,,Translucide,,,,,,,,,Non,,,,26MC-7,0,,,,Amphétamine et dérivés,
7943,93.4,,,,,Translucide,,,,,,,,,Non,,,,26MC-8,0,,,,Amphétamine et dérivés,
7944,75.4,,,,,Translucide,,,,,,,,,Non,,,,26MC-9,0,,,,Amphétamine et dérivés,
7945,94.9,,,,,Translucide,,,,,,,,,Non,,,,27MC-3,0,,,,Amphétamine et dérivés,
7946,95.4,,,,,Translucide,,,,,,,,,Non,,,,27MC-4,0,,,,Amphétamine et dérivés,
