id,_3_4_methylene_dioxy_methylamphetamine,acetylcodeine,acetylthebaol,cafeine,clotrimazole,cocaine,couleur,description_de_l_objet,dextromethorphane,griseofulvine,heroine,logo,mannitol,meconine,monoacetylmorphine,morphine,nom_de_logo,noscapine,numero_echantillon,o3_monoacetylmorphine_,o6_monoacetylmorphine,ovule,papaverine,paracetamol,phenacetine,presentation,saccharose,type_drogue
1424,,,,22.1,,,Beige,,,,15,Non,,,2,,,9.2,sachet 3 noires B2,,,0,,43.7,,,,Héroïne
1425,,,,22.1,,,Beige,,,,15,Non,,,2,,,9.2,sachet 3 noires B3,,,0,,43.7,,,,Héroïne
1426,,,,22.1,,,Beige,,,,15,Non,,,2,,,9.2,sachet 3 noires B4,,,0,,43.7,,,,Héroïne
1427,,,,22.1,,,Beige,,,,15,Non,,,2,,,9.2,sachet 3 noires B5,,,0,,43.7,,,,Héroïne
1474,,,,,,,Marron,,,,8.1,Non,,,,,,,4-1,,,0,,,,,,Héroïne
1475,,,,,,,Marron,,,,8.1,Non,,,,,,,4-7,,,0,,,,,,Héroïne
1476,,,,,,,Marron,,,,8.1,Non,,,,,,,4-11,,,0,,,,,,Héroïne
1477,,,,,,,Marron,,,,8.1,Non,,,,,,,4-17,,,0,,,,,,Héroïne
1478,,,,,,,Marron,,,,8.1,Non,,,,,,,4-19,,,0,,,,,,Héroïne
1479,,,,,,,Marron,,,,8.2,Non,,,,,,,5-8,,,0,,,,,,Héroïne
1480,,,,,,,Marron,,,,8.2,Non,,,,,,,5-9,,,0,,,,,,Héroïne
1481,,,,,,,Marron,,,,8.2,Non,,,,,,,5-11,,,0,,,,,,Héroïne
1482,,,,,,,Marron,,,,8.2,Non,,,,,,,5-14,,,0,,,,,,Héroïne
1483,,,,,,,Marron,,,,8.2,Non,,,,,,,5-22,,,0,,,,,,Héroïne
1484,,,,,,,Marron,,,,9.6,Non,,,,,,,6-2,,,0,,,,,,Héroïne
1485,,,,,,,Marron,,,,9.6,Non,,,,,,,6-7,,,0,,,,,,Héroïne
1486,,,,,,,Marron,,,,9.6,Non,,,,,,,6-9,,,0,,,,,,Héroïne
1487,,,,,,,Marron,,,,9.6,Non,,,,,,,6-11,,,0,,,,,,Héroïne
1488,,,,,,,Marron,,,,9.6,Non,,,,,,,6-15,,,0,,,,,,Héroïne
1489,,,,,,,Marron,,,,9.7,Non,,,,,,,7-7,,,0,,,,,,Héroïne
1490,,,,,,,Marron,,,,9.7,Non,,,,,,,7-10,,,0,,,,,,Héroïne
1491,,,,,,,Marron,,,,9.7,Non,,,,,,,7-15,,,0,,,,,,Héroïne
1492,,,,,,,Marron,,,,9.7,Non,,,,,,,7-17,,,0,,,,,,Héroïne
1493,,,,,,,Marron,,,,9.7,Non,,,,,,,7-18,,,0,,,,,,Héroïne
1494,,,,,,,Marron,,,,6.1,Non,,,,,,,8-1,,,0,,,,,,Héroïne
1495,,,,,,,Marron,,,,6.1,Non,,,,,,,8-7,,,0,,,,,,Héroïne
1496,,,,,,,Marron,,,,6.1,Non,,,,,,,8-11,,,0,,,,,,Héroïne
1497,,,,,,,Marron,,,,6.1,Non,,,,,,,8-15,,,0,,,,,,Héroïne
1498,,,,,,,Marron,,,,6.1,Non,,,,,,,8-19,,,0,,,,,,Héroïne
1499,,,,,,,Beige,,,,14.3,Non,,,,,,,3-1,,,0,,,,,,Héroïne
1500,,,,,,,Beige,,,,14.3,Non,,,,,,,3-4,,,0,,,,,,Héroïne
1506,,,,,,,Beige,,,,11,Non,,,,,,,498,,,0,,,,,,Héroïne
1507,,,,,,,Beige,,,,12.1,Non,,,,,,,501,,,0,,,,,,Héroïne
1508,,,,,,,Beige,,,,12.2,Non,,,,,,,502,,,0,,,,,,Héroïne
1509,,,,,,,Beige,,,,11.6,Non,,,,,,,503,,,0,,,,,,Héroïne
1510,,,,,,,Beige,,,,10.9,Non,,,,,,,499,,,0,,,,,,Héroïne
1511,,,,,,,Beige,,,,12.6,Non,,,,,,,504,,,0,,,,,,Héroïne
1512,,,,,,,Beige,,,,13.4,Non,,,,,,,500,,,0,,,,,,Héroïne
1513,,,,,,,Beige,,,,61.4,Non,,,,,,18.9,k,,,0,,,,,,Héroïne
1514,,,,23.6,,,Beige,,,,17.6,Non,,,,,,5.2,b1,,,0,,49.7,,,,Héroïne
1517,,,,27.3,,,Beige,,,,9.3,Non,,,1,,,4,1A,,,0,,56.4,,,,Héroïne
1518,,,,27.3,,,Beige,,,,9.3,Non,,,1,,,4,2A,,,0,,56.4,,,,Héroïne
1519,,,,27.3,,,Beige,,,,9.3,Non,,,1,,,4,3A,,,0,,56.4,,,,Héroïne
1520,,,,27.3,,,Beige,,,,9.3,Non,,,1,,,4,4A,,,0,,56.4,,,,Héroïne
1545,,,,29.7,,,Beige,,,,7.3,Non,,,,,,0,E6,,,0,,59.4,,,,Héroïne
1546,,,,32.8,,,Beige,,,,0,Non,,,,,,0,DE1,,,0,,60.7,,,,Héroïne
1547,,,,27.6,,,Beige,,,,10.1,Non,,,,,,0,EP1B,,,0,,54.7,,,,Héroïne
1548,,,,32.8,,,Beige,,,,0,Non,,,,,,0,DE3,,,0,,60.7,,,,Héroïne
1549,,,,31.4,,,Beige,,,,4.4,Non,,,,,,0,E2,,,0,,62.3,,,,Héroïne
1550,,,,31.4,,,Beige,,,,4.4,Non,,,,,,0,EP2,,,0,,62.3,,,,Héroïne
1551,,,,31.4,,,Beige,,,,4.4,Non,,,,,,0,JT4,,,0,,62.3,,,,Héroïne
1552,,,,31.4,,,Beige,,,,4.4,Non,,,,,,0,JT5,,,0,,62.3,,,,Héroïne
1560,,,,4.8,,,Beige,,,,48.4,Non,,,2,,,24.1,1B,,,0,,9.2,,,,Héroïne
1561,,,,4.8,,,Beige,,,,48.4,Non,,,2,,,24.1,2B,,,0,,9.2,,,,Héroïne
1562,,,,4.8,,,Beige,,,,48.4,Non,,,2,,,24.1,3B,,,0,,9.2,,,,Héroïne
1563,,,,4.8,,,Beige,,,,48.4,Non,,,2,,,24.1,4B,,,0,,9.2,,,,Héroïne
1564,,,,4.8,,,Beige,,,,48.4,Non,,,2,,,24.1,5B,,,0,,9.2,,,,Héroïne
1565,,,,4.8,,,Beige,,,,48.4,Non,,,2,,,24.1,6B,,,0,,9.2,,,,Héroïne
1566,,,,4.8,,,Beige,,,,48.4,Non,,,2,,,24.1,7B,,,0,,9.2,,,,Héroïne
1567,,,,4.8,,,Beige,,,,48.4,Non,,,2,,,24.1,8B,,,0,,9.2,,,,Héroïne
1568,,,,,,,Beige,,,,56.3,Non,,,1,,,29.6,Contenant n°1,,,0,,,,,,Héroïne
1569,,,,,,,Beige,,,,56.3,Non,,,1,,,29.6,Contenant n°2,,,0,,,,,,Héroïne
1574,,,,26.7,,,Beige,,,,11,Non,,,,,,0,11-1,,,0,,54,,,,Héroïne
1575,,,,26.7,,,Beige,,,,11,Non,,,,,,0,11-2,,,0,,54,,,,Héroïne
1576,,,,26.7,,,Beige,,,,11,Non,,,,,,0,12-1,,,0,,54,,,,Héroïne
1577,,,,26.7,,,Beige,,,,11,Non,,,,,,0,12-2,,,0,,54,,,,Héroïne
1578,,,,29.1,,,Beige,,,,7.3,Non,,,,,,0,11-3,,,0,,58.4,,,,Héroïne
1579,,,,29.1,,,Beige,,,,7.3,Non,,,,,,0,12-3,,,0,,58.4,,,,Héroïne
1580,,,,29.1,,,Beige,,,,7.3,Non,,,,,,0,22,,,0,,58.4,,,,Héroïne
