id,_3_4_methylenedioxyethylamphetamine,couleur,diametre,epaisseur,forme,hauteur,largeur,masse
3041,,Vert,0,6.17,Autre,11.17,9.12,474
3042,,Vert,0,6.17,Autre,11.17,9.12,474
3043,,Vert,0,6.17,Autre,11.17,9.12,474
3044,,Vert,0,6.17,Autre,11.17,9.12,474
3045,,Vert,0,6.17,Autre,11.17,9.12,474
3046,,Vert,0,6.17,Autre,11.17,9.12,485
3047,,Vert,0,6.17,Autre,11.17,9.12,485
3051,,Bleue,10.11,5.32,Circulaire,0,0,489
3052,,Translucide,0,0,,0,0,0
3054,,Translucide,0,0,,0,0,0
3057,,Translucide,0,0,,0,0,0
3075,,Translucide,0,0,,0,0,0
3084,,Translucide,0,0,,0,0,0
3106,,Bleue,0,5.57,Autre,11.09,11.79,536
3107,,Translucide,0,0,,0,0,0
3242,,Rose,0,0,Rectangulaire_Carré,0,0,219.5
3250,,Blanc Cassé,0,0,,0,0,0
3353,,Bleue,0,4.99,Polygonale,8.7,12.11,430
3483,,Rose,0,5.6,Autre,11.2,11.2,503
3484,,Rose,0,5.6,Autre,11.2,11.2,503
3558,,Beige,0,0,,0,0,0
3595,,Vert,0,5.02,Rectangulaire_Carré,7.12,12.18,413
3596,,Vert,0,5.02,Rectangulaire_Carré,7.12,12.18,413
3597,,Vert,0,5.02,Rectangulaire_Carré,7.12,12.18,413
3598,,Vert,0,5.02,Rectangulaire_Carré,7.12,12.18,413
3599,,Vert,0,5.02,Rectangulaire_Carré,7.12,12.18,413
3624,,Bleue,0,6,Autre,13.2,9.9,463
3625,,Vert,0,4.3,Autre,11.7,11,365
3626,,Rose,0,5.2,Polygonale,10.4,7.6,309
3627,,Violet,0,4,Rectangulaire_Carré,12.3,7.2,366
3634,,Jaune,0,5,Triangulaire,12,11,486
3635,,Jaune,0,0,,0,0,0
3636,,Orange,0,5,Polygonale,8,9,301
3640,,Blanche,0,0,,0,0,0
3822,,Bleue,0,5.4,Polygonale,10.7,9.6,479
3823,,Bleue,0,5.4,Polygonale,10.7,9.6,479
3824,,Bleue,0,5.4,Polygonale,10.7,9.6,479
3825,,Bleue,0,5.4,Polygonale,10.7,9.6,479
3826,,Bleue,0,5.4,Polygonale,10.7,9.6,479
3827,,Bleue,0,5.4,Polygonale,10.7,9.6,479
3828,,Bleue,0,5.4,Polygonale,10.7,9.6,479
3892,,Rose,0,5.53,Autre,14.85,10.25,522
3995,,Beige,0,0,,0,0,0
3996,,Beige,0,0,,0,0,0
3998,,Blanc Cassé,0,0,,0,0,0
3999,,Violet,0,4.8,Polygonale,14.8,11.1,480
4000,,Violet,0,4.8,Polygonale,14.8,11.1,480
4001,,Rose,0,4.3,Rectangulaire_Carré,0,6.1,176.6
4039,,Bleue,0,4.81,Autre,13.18,13.14,513
4040,,Bleue,0,4.81,Autre,13.18,13.14,513
4041,,Rose,9.62,4.78,Circulaire,0,0,348
4042,,Rose,9.62,4.78,Circulaire,0,0,348
4077,,Vert,0,4.98,Rectangulaire_Carré,5.07,14.16,418
4078,,Autre,0,5.16,Autre,10.16,10.53,432.8
4375,,Violet,0,4.9,Polygonale,15.3,11.1,502
4376,,Violet,0,4.9,Polygonale,15.3,11.1,502
4377,,Violet,0,4.9,Polygonale,15.3,11.1,502
4378,,Violet,0,4.9,Polygonale,15.3,11.1,502
4379,,Violet,0,4.9,Polygonale,15.3,11.1,502
