id,_3_4_methylene_dioxy_methylamphetamine,cafeine,couleur,heroine,noscapine,paracetamol
5880,,,Marron,56,28,
5881,,,Marron,56.5,28.5,
5886,,29.7,Beige,3.8,0,56.2
5887,,29.7,Beige,3.8,0,56.2
5888,,29.7,Beige,3.8,0,56.2
5889,,28.9,Beige,8.5,5.2,51.9
5890,,35.2,Beige,0,,67.6
5891,,13.5,Beige,7.1,0,67.1
5892,,8,Beige,40.9,16.7,16.4
5899,,30.2,Beige,25.1,8.5,
5910,,22.1,Marron,14.6,7.8,46.7
5930,,32.3,Beige,2.7,1.3,60.5
5969,,,Marron,59.5,20.3,
5970,,0,Marron,53.8,24.5,0
6012,,35,Beige,10,8,44
6014,,27,Beige,6,4,59
6071,,21.1,Marron,18.7,9.2,40.1
6207,,24.3,Beige,16.4,8.3,41.8
6208,,23.4,Beige,19.3,10.4,38.2
6209,,23.4,Beige,19.3,10.4,38.2
6216,,3.5,Beige,50,20,6.5
6217,,3.5,Beige,50,20,6.5
6218,,3.5,Beige,50,20,6.5
6226,,26.7,Marron,0,8.5,48.4
6228,,24.1,Beige,15.7,6.5,42.8
6250,,15.8,Marron,20.8,12.3,28.5
6251,,30.7,Marron,4.4,0,55.3
6271,,15,Beige,27,11,31
6272,,0,Beige,55.2,29.2,0
6273,,0,Beige,55.2,29.2,0
6274,,,Beige,56.1,29.9,
6302,,14.2,Beige,35,17.6,23.7
6303,,14.2,Beige,35,17.6,23.7
6307,,28,Beige,7,6,57
6374,,15,Beige,27,11,31
6375,,15,Beige,27,11,31
6376,,15,Beige,27,11,31
6377,,15,Beige,27,11,31
6378,,15,Beige,27,11,31
6379,,15,Beige,27,11,31
6380,,15,Beige,27,11,31
6381,,15,Beige,27,11,31
6382,,15,Beige,27,11,31
6383,,15,Beige,27,11,31
6384,,15,Beige,27,11,31
